Station N.,Date,Time,Magnet ID,B (mT),Zero (mT),Numero de Caja,B Absoluto (mT),Medicion Numero
1,2025-01-09,12:52:15,389,9.54,6.16,B3,,
1,2025-01-09,12:53:57,390,9.58,6.16,B3,,
1,2025-01-09,12:54:46,391,9.58,6.16,B4,,
1,2025-01-09,12:55:00,392,9.52,6.16,B4,,
1,2025-01-09,12:55:31,393,9.52,6.16,B4,,
1,2025-01-09,12:55:56,394,9.54,6.16,B4,,
1,2025-01-09,12:56:18,395,9.6,6.16,B4,,
1,2025-01-09,12:57:03,396,9.54,6.16,B4,,
1,2025-01-09,12:57:25,397,9.54,6.16,B4,,
1,2025-01-09,12:57:45,398,9.48,6.16,B4,,
1,2025-01-09,12:58:07,399,9.54,6.16,B4,,
1,2025-01-09,12:58:28,400,9.42,6.16,B4,,
1,2025-01-09,12:59:31,401,9.36,6.16,B4,,
1,2025-01-09,12:59:43,402,9.5,6.16,B4,,
1,2025-01-09,13:00:03,403,9.58,6.16,B4,,
1,2025-01-09,13:00:44,404,9.44,6.16,B4,,
1,2025-01-09,13:01:14,405,9.46,6.16,B4,,
1,2025-01-09,13:01:34,406,9.4,6.16,B4,,
1,2025-01-09,13:02:04,407,9.48,6.16,B4,,
1,2025-01-09,13:02:25,408,9.54,6.16,B4,,
1,2025-01-09,13:02:49,409,9.4,6.16,B4,,
1,2025-01-09,13:03:39,410,9.46,6.16,B4,,
1,2025-01-09,13:05:14,411,9.58,6.16,B5,,
1,2025-01-09,13:05:26,412,9.54,6.16,B5,,
1,2025-01-09,13:05:46,413,9.54,6.16,B5,,
1,2025-01-09,13:06:16,414,9.5,6.16,B5,,
1,2025-01-09,13:06:36,415,9.52,6.16,B5,,
1,2025-01-09,13:06:55,416,9.48,6.16,B5,,
1,2025-01-09,13:07:17,417,9.36,6.16,B5,,
1,2025-01-09,13:07:39,418,9.52,6.16,B5,,
1,2025-01-09,13:08:04,419,9.52,6.16,B5,,
1,2025-01-09,13:08:35,420,9.62,6.16,B5,,
1,2025-01-09,13:09:53,421,9.62,6.16,B5,,
1,2025-01-09,13:10:04,422,9.48,6.16,B5,,
1,2025-01-09,13:10:22,423,9.56,6.16,B5,,
1,2025-01-09,13:10:42,424,9.52,6.16,B5,,
1,2025-01-09,13:10:59,425,9.54,6.16,B5,,
1,2025-01-09,13:11:14,426,9.6,6.16,B5,,
1,2025-01-09,13:11:35,427,9.56,6.16,B5,,
